LAST_DATE,LAST_RACE_NUM,LAST_TRACK,LAST_FINISH,PLACE,HORSE_NAME,JOCKEY_NAME,WEIGHT,POLE_POS,ODDS,FAVORITE
30Jan20,8,AQU,2,1,Cause,"Gutierrez,Reylu",118,4,2.40,0
23Feb20,8,AQU,2,2,Danegeld,"Cancel,Eric",118,7,1.55,1
-,-,-,-,3,LongIslandCity,"Carmouche,Kendrick",119,1,5.90,0
17Jan20,1,AQU,5,4,DutchmenForever,"Maragh,Romero",120,5,5.60,0
17Jan20,1,AQU,4,5,KidChocolate,"Hernandez,Benjamin",125,3,8.90,0
23Feb20,8,AQU,5,6,VonAldenbruck,"Gomez,Oscar",118,6,20.90,0
-,-,-,-,7,ShadowCaster,"Luzzi,Michael",118,8,29.00,0
17Feb20,6,AQU,4,1,Vibrancy,"Alvarado,Junior",120,2,2.90,0
17Feb20,6,AQU,5,2,MakeOrBreak,"Franco,Manuel",120,6,0.90,1
6Feb20,8,AQU,1,3,Becky'sMission,"Gutierrez,Reylu",120,5,8.50,0
29Feb20,1,AQU,1,4,HotLittleHoney,"Cancel,Eric",120,3,2.65,0
29Feb20,1,AQU,4,5,AllAboutReyana,"Cardenas,Luis",113,1,28.50,0
1Feb20,2,AQU,2,1,Cryptographer,"Maragh,Romero",117,3,2.90,0
8Feb20,9,AQU,1,2,ValidQuest,"Alvarado,Junior",122,1,1.15,1
1Feb20,2,AQU,6,3,FutureBook,"Cancel,Eric",122,2,3.35,0
23Feb20,6,AQU,4,4,DantheManCan,"Davis,Dylan",122,5,4.30,0
6Mar20,1,AQU,1,5,JudithsCougar,"Gutierrez,Reylu",122,6,31.75,0
6Feb20,3,AQU,3,6,StoneGuitar,"Gomez,Oscar",122,4,37.00,0
26Jan20,2,AQU,3,1,TimelyTradition,"Davis,Dylan",120,2,4.70,0
22Feb20,4,AQU,2,2,Letmetakethiscall,"Lezcano,Jose",123,3,2.20,0
17Feb20,7,AQU,1,3,BustintoPlease,"Carmouche,Kendrick",123,5,1.65,1
6Feb20,2,AQU,6,4,Archumybaby,"Franco,Manuel",123,7,2.75,0
22Feb20,4,AQU,4,5,AFirstForever,"Cardenas,Luis",116,1,39.50,0
28Feb20,6,AQU,7,6,PeachesandSpice,"Gomez,Oscar",120,4,94.00,0
17Feb20,7,AQU,9,7,Ella'sSong,"Maragh,Romero",118,8,32.00,0
-,-,-,-,1,SlashGordon,"Franco,Manuel",120,4,3.05,0
25Jan20,4,AQU,4,1,OurLastBuck,"Franco,Manuel",120,8,1.95,1
31Jan20,6,AQU,6,2,BebeBanker,"Maragh,Romero",115,3,2.90,0
7Mar20,3,AQU,10,3,SoulFight,"Cardenas,Luis",113,5,29.50,0
30Jan20,2,AQU,2,4,TizMorning,"Gutierrez,Reylu",120,9,2.60,0
22Feb20,1,AQU,1,5,Sneads,"Vargas,Jr.,Jorge",123,2,7.60,0
5Jan20,5,AQU,3,6,AwesomeAdversary,"Harkie,Heman",114,1,32.50,0
30Jan20,2,AQU,4,7,QuietOutEast,"Carmouche,Kendrick",123,7,6.30,0
30Jan20,4,AQU,3,8,MyAmanjena,"Martinez,Joey",120,4,76.25,0
1Feb20,7,AQU,1,1,FreedomPrince,"Correa,Julio",120,6,15.10,0
16Feb20,7,AQU,3,2,HighAmplitude,"Franco,Manuel",123,4,0.85,1
26Jan20,1,AQU,1,3,FlyingCurlin,"Alvarado,Junior",120,1,6.50,0
29Feb20,4,AQU,3,4,Hersh,"Cancel,Eric",120,5,13.70,0
2Feb20,5,AQU,1,5,ShadowRider,"Maragh,Romero",115,3,15.60,0
16Feb20,7,AQU,2,6,Scoreswhenhewants,"Carmouche,Kendrick",120,7,1.95,0
12Jan20,7,AQU,3,1,DreamBigger,"Alvarado,Junior",122,1,2.00,1
17Feb20,9,AQU,1,2,MoreGraytful,"Vargas,Jr.,Jorge",118,2,2.90,0
16Feb20,8,AQU,3,3,BourbonBay,"Franco,Manuel",118,3,3.30,0
21Feb20,5,AQU,2,4,PrinceofPharoahs,"Carmouche,Kendrick",119,6,6.90,0
21Feb20,5,AQU,1,5,Titan'sWill,"RodriguezCastro,Luis",120,7,21.80,0
16Feb20,8,AQU,4,6,ScillyCay,"Lezcano,Jose",122,4,63.85,0
-,-,-,-,1,GandyDancing,"Franco,Manuel",120,4,2.80,0
