JockeyName,NumOfRaces,Win,Place,Show,WinPercent,Top3Percent,NewDist,Avesprat,LSprat,
Cause,1,1,0,0,10000,10000,
Danegeld,1,0,1,0,0,10000,
Island City,1,0,0,1,0,10000,
Emcee Prime,1,0,0,0,0,0,
Dutchmen Forever,1,0,0,0,0,0,
Kid Chocolate,1,0,0,0,0,0,
Von Aldenbruck,1,0,0,0,0,0,
Caster,1,0,0,0,0,0,
Vibrancy,1,1,0,0,10000,10000,
Make Or Break,1,0,1,0,0,10000,
Becky's Mission,1,0,0,1,0,10000,
Hot Little Honey,1,0,0,0,0,0,
All About Reyana,1,0,0,0,0,0,
Cryptographer,1,1,0,0,10000,10000,
Valid Quest,1,0,1,0,0,10000,
Future Book,1,0,0,1,0,10000,
Dan the Man Can,1,0,0,0,0,0,
Judiths Cougar,1,0,0,0,0,0,
Stone Guitar,1,0,0,0,0,0,
Timely Tradition,1,1,0,0,10000,10000,
Letmetakethiscall,1,0,1,0,0,10000,
Bustin to Please,1,0,0,1,0,10000,
Archumybaby,1,0,0,0,0,0,
First Forever,1,0,0,0,0,0,
Peaches and Spice,1,0,0,0,0,0,
Ella's Song,1,0,0,0,0,0,
Gordon,1,1,0,0,10000,10000,
Microsecond,1,0,1,0,0,10000,
Stash My Money,1,0,0,1,0,10000,
Saratoga Pal,1,0,0,0,0,0,
Code,1,0,0,0,0,0,
Ganondagan,1,0,0,0,0,0,
of Delancey,1,0,0,0,0,0,
Our Last Buck,1,1,0,0,10000,10000,
Bebe Banker,1,0,1,0,0,10000,
Soul Fight,1,0,0,1,0,10000,
Tiz Morning,1,0,0,0,0,0,
Sneads,1,0,0,0,0,0,
Awesome Adversary,1,0,0,0,0,0,
Quiet Out East,1,0,0,0,0,0,
My Amanjena,1,0,0,0,0,0,
Freedom Prince,1,1,0,0,10000,10000,
High Amplitude,1,0,1,0,0,10000,
Flying Curlin,1,0,0,1,0,10000,
Hersh,1,0,0,0,0,0,
Shadow Rider,1,0,0,0,0,0,
Scoreswhenhewants,1,0,0,0,0,0,
Dream Bigger,1,1,0,0,10000,10000,
More Graytful,1,0,1,0,0,10000,
Bourbon Bay,1,0,0,1,0,10000,
Prince of Pharoahs,1,0,0,0,0,0,
Titan's Will,1,0,0,0,0,0,
Scilly Cay,1,0,0,0,0,0,
Dancing,1,1,0,0,10000,10000,
Farragut,1,0,1,0,0,10000,
Senrima,1,0,0,1,0,10000,
Unbridled John,1,0,0,0,0,0,
Not Phar Now,1,0,0,0,0,0,
Black Irish,1,0,0,0,0,0,
Whiskey,1,0,0,0,0,0,
Ernie Banker,1,0,0,0,0,0,
